agecell,all,allfitted,internal,internalfitted,external,externalfitted,alcohol,alcoholfitted,homicide,homicidefitted,suicide,suicidefitted,mva,mvafitted,drugs,drugsfitted,externalother,externalotherfitted
19.06849289,92.82540131,91.70614624,16.61758995,16.73813057,76.20781708,74.96800995,0.639138043,0.794344485,16.31681824,16.2845726,11.20371437,11.59210014,35.82932663,34.81777954,3.872424603,3.448834896,8.534373283,8.388236046
19.15068436,95.10073853,91.8837204,18.3276844,16.9206543,76.77305603,74.9630661,0.677409291,0.837574899,16.85996437,16.27069664,12.19336796,11.59361076,35.63925552,34.63388824,3.23651123,3.470022202,8.655785561,8.530174255
19.23287582,92.14429474,92.04906464,18.9110527,17.09884262,73.23323822,74.95022583,0.866442621,0.877834678,15.21925354,16.26288223,11.71581173,11.59512901,34.20565033,34.44673538,3.202070713,3.492069483,8.51374054,8.662680626
19.3150692,88.42775726,92.20214081,16.1017704,17.27268028,72.32598114,74.92946625,0.867308438,0.91511488,16.74282455,16.26114845,11.27501011,11.59665489,32.27895737,34.25630188,3.280688524,3.514979839,8.258284569,8.785727501
19.39726067,88.7049408,92.3429184,17.36351967,17.44215584,71.34141541,74.90075684,1.019163132,0.949406564,14.94772625,16.26551056,10.98431396,11.59818935,32.65096664,34.06258774,3.548197508,3.538755178,8.417532921,8.899288177
19.47945213,90.19178772,92.47134399,17.87210464,17.60725403,72.31967926,74.86408997,1.171321869,0.980700731,15.64281464,16.27598953,12.16663361,11.59973145,32.72144318,33.86558151,3.211688995,3.5633986,7.972545624,9.003332138
19.5616436,96.2203064,92.58738708,16.41494179,17.76796532,79.80536652,74.81941986,0.86991632,1.00898838,16.2636528,16.29260445,12.40576267,11.60128117,36.38519669,33.66527176,3.857889652,3.588912725,10.28770542,9.097830772
19.64383507,89.61555481,92.69101715,15.97708702,17.92427254,73.63846588,74.76674652,1.097951412,1.034260511,15.82564545,16.31537056,10.97951412,11.60283947,34.18793488,33.46164703,3.483156204,3.61529994,8.670030594,9.182756424
19.72602654,93.38169861,92.78219604,17.43327141,18.07616615,75.94842529,74.70602417,1.174850941,1.056508064,16.78899956,16.34430885,11.90010262,11.6044054,31.91046715,33.25469589,4.055130482,3.642562866,10.76315022,9.258080482
19.80821991,90.85795593,92.86087036,18.28540039,18.22363091,72.57255554,74.63724518,0.948412895,1.075721741,16.61619377,16.37943649,11.5706377,11.60597992,30.57683182,33.04441452,3.566032648,3.670704365,9.863493919,9.32377243
19.89041138,95.81015015,92.92702484,18.60759926,18.36665154,77.2025528,74.5603714,1.329114199,1.0918926,17.27848434,16.42077446,11.46835709,11.60756207,33.53165436,32.83078766,4.101266861,3.69972682,9.835445404,9.379804611
19.97260284,94.1580658,92.98060608,18.4362793,18.50521851,75.7217865,74.47538757,1.216414213,1.105011225,16.9537735,16.46833801,11.63196087,11.60915184,33.60344315,32.61380768,3.763281584,3.729633093,9.123106956,9.426147461
20.05479431,92.46459961,93.02158356,19.63445854,18.63931656,72.83013916,74.38227081,1.0273844,1.115068555,17.19917679,16.52215004,11.26317787,11.6107502,31.7728157,32.39346695,3.729024887,3.760425806,8.295178413,9.462770462
20.13698578,98.24559784,93.09767151,20.88385963,18.77856255,77.36174011,74.31911469,0.952730775,1.122631073,17.03482628,16.59073639,11.92818928,11.61831665,34.29830933,32.18625641,3.925250769,3.794053793,9.67974472,9.494516373
20.21917725,94.96040344,93.16123962,18.47300339,18.91347313,76.48739624,74.24777222,1.374025106,1.127119541,16.29746437,16.66570091,11.87005043,11.62591076,33.32011032,31.97548294,4.236577511,3.828613043,9.809012413,9.516517639
20.30137062,93.38532257,93.2122345,18.88348389,19.04402351,74.50183868,74.16820526,0.993867517,1.128519654,15.94010639,16.74707413,12.46156979,11.63353252,32.75940323,31.76112556,3.440310717,3.864107847,9.250613213,9.528727531
20.38356209,90.12091827,93.25058746,18.5678196,19.17019653,71.55310059,74.08039093,1.225093246,1.126817465,16.88331604,16.83488274,11.10240746,11.6411829,30.58904648,31.54316521,3.254153967,3.900542259,8.996778488,9.531103134
20.46575356,92.40622711,93.27624512,19.36313057,19.29197121,73.04309082,73.98427582,0.996913612,1.121998549,17.33095932,16.92915916,10.88936424,11.64886189,31.28775024,31.32159042,4.179368496,3.937920809,8.972222328,9.523598671
20.54794502,93.35448456,93.28915405,19.96887398,19.40932846,73.38561249,73.87982178,0.960042,1.1140486,16.74313164,17.02993202,11.48210239,11.65656948,30.2989254,31.09638214,4.377791405,3.976248026,9.83082962,9.506168365
20.63013649,92.22878265,93.28924561,19.42265701,19.52224731,72.80612183,73.76699829,0.961517692,1.102953076,15.88427258,17.13723183,12.34588718,11.66430569,30.2301178,30.86752129,3.653767347,4.015528202,10.19208813,9.478767395
20.71232796,92.33224487,93.276474,20.37703705,19.63070488,71.95520782,73.64576721,1.001517892,1.088697672,17.41100311,17.2510891,10.97817707,11.6720705,30.12257767,30.63499641,3.659392357,4.055765152,9.398859978,9.441348076
20.79452133,92.66751099,93.25076294,19.52113152,19.73468399,73.14637756,73.51608276,1.195958734,1.071267605,17.9008007,17.37153053,11.30373859,11.67986393,29.74464989,30.39878654,4.359462261,4.096963882,9.220456123,9.393865585
20.8767128,93.39019775,93.21207428,18.62394524,19.83416176,74.76625061,73.3779068,0.965972245,1.050648212,18.16027832,17.49859238,12.20988941,11.68768692,30.71791649,30.15887451,3.941166639,4.139129162,9.157417297,9.33627224
20.95890427,94.26991272,93.1603241,20.20069504,19.92911911,74.0692215,73.2312088,1.238356829,1.026824713,17.14350319,17.63229942,11.88048553,11.69553852,30.41713905,29.91524506,4.489043713,4.182264805,9.481169701,9.268521309
20.99999046,NA,93.13445282,NA,19.97659683,NA,73.1578598,NA,1.014912963,NA,17.6991539,NA,11.69946384,NA,29.79343033,NA,4.20383215,NA,9.234645844
21,NA,102.8917618,NA,21.10803986,NA,81.78372192,NA,1.81736052,NA,17.76202011,NA,13.5470686,NA,34.78597641,NA,4.442146301,NA,10.35340214
21.04109573,105.2683487,102.5890808,21.93736649,21.10453606,83.33098602,81.48454285,2.519308805,1.788587689,18.33281708,17.72146034,12.40275097,13.52051067,36.31680679,34.59024429,4.224687099,4.449665546,10.69737244,10.32197285
21.1232872,101.0665131,101.9837189,21.12185287,21.09753227,79.944664,80.88619232,1.591904402,1.731042147,17.31681442,17.64034081,14.83189011,13.46739483,32.57579803,34.19877625,4.426270962,4.464704037,9.978522301,10.25911236
21.20547867,96.96652222,101.4124756,19.25328064,21.10231781,77.71324158,80.31015778,1.361343145,1.677613616,16.88065529,17.5636425,12.21319294,13.41620731,33.02229309,33.81598663,4.745253086,4.481014252,10.2684164,10.20063305
21.28767204,102.8268967,100.8755188,21.50831604,21.11896133,81.31858063,79.75656128,1.44168067,1.628323913,17.37809563,17.49139023,14.45577049,13.36695957,35.10687256,33.44191742,4.169184685,4.498603821,9.624192238,10.1465559
21.36986351,100.9794312,100.3730469,22.36614418,21.14752007,78.61328888,79.2255249,1.327135921,1.58319521,17.01856613,17.42360878,13.58362675,13.31966114,32.35869598,33.07661819,4.410775185,4.51747942,10.57805347,10.09690666
21.45205498,101.2369461,99.90523529,21.23277855,21.18806076,80.00417328,78.71717072,1.720519781,1.54224956,17.47891617,17.36032104,13.8032608,13.27432251,32.45526123,32.72013092,4.848737717,4.537647247,10.28401566,10.05170631
21.53424644,99.49759674,99.47226715,21.27054977,21.24064827,78.22704315,78.23162079,1.135996222,1.505509257,18.4109726,17.30154991,12.84850883,13.23095417,31.53368759,32.37250519,4.622329235,4.559114456,10.34148216,10.01098061
21.61643791,95.2013092,99.07433319,22.09329605,21.30534363,73.10800934,77.76898956,1.020294309,1.47299695,16.59940338,17.24732018,11.81186867,13.18956661,30.0986824,32.03379059,4.866019249,4.581888199,9.496585846,9.97475338
21.69862938,97.25824738,98.71161652,21.26787186,21.3822155,75.99037933,77.32940674,1.611797929,1.44473505,18.04427528,17.19765663,13.32681751,13.15017033,30.3882885,31.70403099,4.4029603,4.605975628,8.963169098,9.943047523
21.78082275,98.9287262,98.38431549,19.45493126,21.47132492,79.47379303,76.91298676,1.732827902,1.420746565,17.17074966,17.15258408,14.76842022,13.11277676,31.74225807,31.38327789,5.080336571,4.631383419,9.806230545,9.915887833
21.86301422,102.262207,98.09260559,20.51556587,21.57274246,81.74664307,76.51986694,1.301949382,1.401054263,17.16205978,17.1121273,13.92691326,13.07739639,34.48193359,31.07157516,4.813267708,4.658118725,10.57340717,9.893299103
21.94520569,96.83337402,97.83669281,22.09381866,21.68653107,74.73955536,76.15016174,1.146190882,1.38568151,16.71857834,17.0763092,12.37095737,13.04403973,31.54001236,30.76897621,4.268573284,4.686188698,9.446194649,9.875306129
22.02739716,99.50196838,97.61676025,21.02488708,21.81275749,78.47707367,75.80400848,1.346226335,1.374651432,17.22377777,17.04515648,12.27441692,13.01271725,31.83429337,30.47552872,4.909766674,4.715600491,11.48251915,9.861932755
22.10958862,96.07228851,97.43373871,23.4032402,21.95165253,72.66904449,75.48207855,1.626326919,1.367997766,17.01693344,17.01881981,11.62228775,12.98353672,29.55154991,30.19150543,4.402982712,4.746397018,9.440629005,9.853277206
22.19178009,95.96820831,97.28707886,20.62422371,22.10312462,75.34397888,75.18395233,1.827965856,1.365733862,16.57090759,16.99720001,12.59706879,12.95641327,30.83698845,29.91672707,4.609652996,4.778550625,9.49747467,9.849292755
22.27397346,98.610672,97.17700195,23.12991524,22.26724243,75.48075867,74.90975952,1.632231593,1.367883801,17.19814682,16.98032188,12.42088413,12.93135834,29.8578949,29.65124893,4.936505318,4.812068462,10.07206249,9.850004196
22.35616493,97.95246887,97.1036911,23.09221458,22.44407272,74.86025238,74.65961456,1.555434108,1.374471545,17.10977554,16.96821022,13.87925816,12.90838146,28.75559044,29.39511681,5.105014324,4.84695816,9.372488022,9.855436325
22.4383564,97.41172791,97.06735992,24.37290955,22.63368797,73.03881836,74.43367004,1.638179183,1.385521293,16.701437,16.96089172,13.86458969,12.88749599,27.6492691,29.14838409,4.435070515,4.883227825,9.469474792,9.865616798
22.52054787,97.50947571,97.06819916,23.49674034,22.83615685,74.01273346,74.23204041,1.561112285,1.401057601,17.53249168,16.9583931,12.80912685,12.86871243,28.26013565,28.91110229,4.523222923,4.920884132,9.887044907,9.880570412
22.60273933,95.56239319,97.10642242,22.81787682,23.051548,72.74451447,74.05487061,1.243153214,1.421105146,16.04068565,16.96074104,12.15081978,12.85204124,29.23415184,28.68332481,5.012714386,4.959934711,10.02542877,9.900322914
22.6849308,97.02306366,97.18222809,21.8151226,23.27993393,75.20793915,73.90229034,0.883853972,1.445688486,16.79322624,16.96796227,12.85605812,12.83749676,29.5287571,28.46509933,5.423649311,5.000387669,10.20449638,9.924901009
22.76712418,99.37457275,97.29582214,24.35059357,23.5213871,75.02397919,73.77443695,1.207467437,1.474832773,17.2265358,16.98008156,14.61035633,12.8250885,27.44976044,28.25648308,4.789620876,5.04225111,10.50496674,9.954332352
22.84931564,94.31530762,97.44742584,22.94374084,23.77598,71.37156677,73.67144012,1.370979309,1.508563161,16.69368935,16.99712753,12.33881378,12.81482887,26.85506439,28.05752563,5.564562798,5.085531712,9.435563087,9.988642693
22.93150711,97.39764404,97.63722992,24.2383194,24.04378319,73.15932465,73.59345245,1.777476788,1.546904802,17.77476692,17.0191288,11.91717339,12.80672932,27.3893013,27.86828232,4.968855381,5.130238056,10.09929943,10.02785873
